GFO’2017-07,
57,Nonprofit gazdasági társaság
572,Nonprofit korlátolt felelősségű társaság
573,Nonprofit részvénytársaság
574,Európai kutatási infrastruktúráért felelős konzorcium (ERIC)
575,Nonprofit közkereseti társaság
576,Nonprofit betéti társaság
58,Pénztárszervezet
581,Önkéntes kölcsönös biztosító pénztár
582,Magánnyugdíjpénztár
583,Vegyes nyugdíjpénztár
59,"Egyéb, jogi személyiségű nonprofit szervezet"
591,Egyesülés
593,Lakásszövetkezet
595,Nemzeti otthonteremtési közösség
599,"Egyéb, jogi személyiségű nonprofit szervezet"
6,Jogi személyiség nélküli nonprofit szervezet
61,Jogi személyiség nélküli nonprofit szervezet
611,Külföldiek magyarországi közvetlen kereskedelmi képviselete
69,"Egyéb, jogi személyiség nélküli nonprofit szervezet"
692,Társasház
693,Építőközösség
699,"Egyéb, jogi személyiség nélküli nonprofit szervezet"
"7, 8, 9",Átmeneti és technikai kódok
7,Egyéb gazdasági szervezet
71,Állami gazdálkodó szervezet
711,Állami vállalat
72,Egyéb vállalat
721,Leányvállalat
73,Megszűnt gazdálkodási forma
731,Gazdasági munkaközösség
732,Közös vállalat
734,Polgári jogi társaság
735,Művészeti alkotóközösség
736,Közhasznú társaság
737,Egyes jogi személyek vállalata
738,"Egyéb, máshova nem sorolt vállalat"
739,Egyéb megszűnt gazdálkodási forma
9,Technikai kód
91,Alap
915,Befektetési alap
916,Országos Betétbiztosítási Alap
918,Pénztárak garanciaalapja
919,Egyéb alap
92,Munkavállalói résztulajdonosi program szervezete
921,Munkavállalói résztulajdonosi program szervezete
93,Egyéb adóalany
931,Egyéb adóalany
932,Adószámmal rendelkező külföldi vállalkozás
94,"Külföldi diplomáciai, konzuli testület, egyéb területen kívüli szervezet"
941,"Külföldi diplomáciai, konzuli testület"
942,Egyéb területen kívüli szervezet
96,Háztartás
961,Háztartás
